GENE_NAME	PREDICTED_INDISPENSABILITY_SCORE
A1BG	0.65927761647298
A1CF	0.542316824803263
A2BP1	0.674766596728178
A2LD1	0.135396893021676
A2M	0.930380431714086
A2ML1	0.154649809425639
A4GALT	0.100979845344790
A4GNT	0.148436449587239
AAAS	0.537758866542784
AACS	0.779725884789571
AADAC	0.672806845631442
AADACL2	0.186706125116387
AADACL3	0.070422688089105
AADACL4	0.327168817346435
AADAT	0.994750614986312
AAED1	0.114371359811310
AAGAB	0.965117617036297
AAK1	0.446128515592442
AAMP	0.628152374341873
AANAT	0.992834629612433
AARS	0.95787625227879
AARS2	0.991595899413003
AARSD1	0.0536558707497857
AASDH	0.80143430066857
AASDHPPT	0.994858749413114
AASS	0.987275453270369
AATF	0.894152686559017
AATK	0.733427833609564
ABAT	0.9397676523307
ABCA1	0.693606622902366
ABCA10	0.0398933302850705
ABCA11P	0.340912402459394
ABCA12	0.137731088916452
ABCA13	0.06883655863008
ABCA17P	0.471208295418694
ABCA2	0.887994327027512
ABCA3	0.737333579898286
ABCA4	0.704432693703314
ABCA5	0.0698242467193086
ABCA6	0.11609524584075
ABCA7	0.391547463017258
ABCA8	0.154443778935168
ABCA9	0.171886494171955
ABCB1	0.51926378609142
ABCB10	0.665082300158133
ABCB11	0.176113618117090
ABCB4	0.135463690109064
ABCB5	0.129622131038323
ABCB6	0.557883554531739
ABCB7	0.168890809081556
ABCB8	0.947334906995041
ABCB9	0.275440463016455
ABCC1	0.290838960971395
ABCC10	0.153834331074105
ABCC11	0.27040470741786
ABCC12	0.463877293003647
ABCC2	0.782048653654636
ABCC3	0.580525648961695
ABCC4	0.735129096705468
ABCC5	0.723691036143714
ABCC6	0.158685377910546
ABCC8	0.717661623789387
ABCC9	0.762493925775111
ABCD1	0.783215763281755
ABCD2	0.929476505725257
ABCD3	0.80570048752013
ABCD4	0.412590269250382
ABCE1	0.851043305944724
ABCF1	0.950010387971649
ABCF2	0.98900376895822
ABCF3	0.893234747780459
ABCG1	0.516759620420317
ABCG2	0.166302378250483
ABCG4	0.449964960264766
ABCG5	0.663880317800132
ABCG8	0.676410901839125
ABHD1	0.114371359811310
ABHD10	0.903404741917064
ABHD11	0.510119733583969
ABHD12	0.23221164704617
ABHD12B	0.42098918596198
ABHD13	0.307483654878265
ABHD14A	0.117933834243739
ABHD14B	0.114900399599488
ABHD15	0.295332140839461
ABHD16A	0.114371359811310
ABHD16B	0.114371359811310
ABHD2	0.695025267765382
ABHD3	0.283671290935385
ABHD4	0.804191475003038
ABHD5	0.282681495523763
ABHD6	0.179230319229265
ABHD8	0.331176998767068
ABI1	0.707376306573419
ABI2	0.988335963082744
ABI3	0.799464895426046
ABI3BP	0.570508106901064
ABL1	0.999940044788594
ABL2	0.983610823857357
ABLIM1	0.798943039951219
ABLIM2	0.92212995499691
ABLIM3	0.912268646358372
ABO	0.185744561870803
ABP1	0.689930955775418
ABR	0.528427855508353
ABRA	0.0118136064450005
ABRACL	0.114371359811310
ABT1	0.699469108700908
ABTB1	0.564121658811835
ABTB2	0.877407292571
AC002310.11	0.114371359811310
AC002310.13	0.114371359811310
AC002321.1	0.0712321878794732
AC002321.2	0.114371359811310
AC002365.1	0.114371359811310
AC002472.13	0.114371359811310
AC002511.4	0.114371359811310
AC002553.1	0.114371359811310
AC003070.1	0.114371359811310
AC003101.1	0.114371359811310
AC003102.1	0.114371359811310
AC003682.1	0.114371359811310
AC004017.1	0.024177354417325
AC004148.1	0.0251822378726785
AC004223.1	0.114371359811310
AC004231.7	0.114371359811310
AC004258.1	0.135984498271484
AC004381.6	0.114371359811310
AC004696.1	0.114371359811310
AC004790.1	0.114371359811310
AC004847.1	0.114371359811310
AC004863.1	0.12933237434095
AC004876.1	0.0527302308736695
AC004980.12	0.114371359811310
AC005003.1	0.114371359811310
AC005008.2	0.0652242018964366
AC005035.1	0.114371359811310
AC005071.3	0.114371359811310
AC005082.1	0.114371359811310
AC005323.1	0.114371359811310
AC005324.8-001	0.114371359811310
AC005392.1	0.114371359811310
AC005481.5	0.114371359811310
AC005493.1	0.114371359811310
AC005544.1	0.146635475248672
AC005594.1	0.114371359811310
AC005609.1	0.114371359811310
AC005702.1	0.0104576567654046
AC005726.6	0.114371359811310
AC005754.1	0.114371359811310
AC005838.1	0.114371359811310
AC005840.2	0.114371359811310
AC005841.1	0.251485041087967
AC005863.1	0.344856821524974
AC006035.2	0.114371359811310
AC006050.2	0.114371359811310
AC006070.1	0.0597598846556082
AC006156.1	0.134628274188020
AC006156.2	0.114371359811310
AC006271.2	0.00504140983465484
AC006276.7	0.114371359811310
AC006305.1	0.114371359811310
AC006372.1	0.114371359811310
AC006449.1	0.114371359811310
AC006455.1	0.114371359811310
AC006465.3	0.114371359811310
AC006486.1	0.114371359811310
AC006547.14	0.114371359811310
AC006946.15	0.114371359811310
AC007228.1	0.114371359811310
AC007308.1	0.114371359811310
